"Y1","cluster","Y2","Y3","Y4","Y5","Y6","Y7","Y8","Y9","Y10","Y11","Y12","Y13","Y14","Y15","Y16","Y17","Y18","Y19","Y20","Y21","Y22","Y23","Y24","Y25","Y26","Y27","Y28","Y29","Y30"
3,1,3,2,3,2,3,3,3,2,2,1,2,2,2,2,1,1,3,3,3,2,3,2,2,3,2,2,3,2,3
3,1,2,1,2,2,1,3,3,3,1,2,2,2,2,3,3,2,2,2,2,2,3,3,3,2,2,1,3,1,2
2,1,3,3,3,2,2,3,3,3,2,3,2,1,3,3,2,2,3,2,2,1,2,3,2,3,3,1,2,1,3
2,1,3,3,2,3,2,3,2,3,1,2,2,2,2,3,2,3,1,3,1,2,3,2,2,3,2,3,1,3,2
3,1,3,2,3,1,2,2,2,1,3,1,2,2,2,2,2,3,3,2,3,1,3,3,2,3,2,2,2,3,2
2,1,2,3,2,3,2,2,2,3,2,2,2,2,3,2,3,3,2,3,1,3,2,2,3,3,2,3,2,3,2
2,1,1,2,2,2,3,3,2,2,1,2,2,2,2,2,2,2,2,1,2,2,3,2,3,2,2,2,1,3,3
3,1,2,2,3,2,2,2,3,1,3,2,2,3,2,2,2,3,2,2,1,2,2,3,3,2,3,2,3,2,3
2,1,1,3,2,3,3,3,3,3,1,2,2,2,2,2,2,2,3,3,3,2,2,2,3,2,3,1,3,2,3
1,1,1,2,1,3,2,2,3,2,3,2,2,3,3,3,2,2,2,2,3,2,3,2,2,3,2,2,1,2,2
3,1,3,2,2,3,2,3,3,2,3,3,2,2,3,3,2,2,3,2,3,2,1,3,3,2,3,2,2,2,2
2,1,2,1,2,3,2,3,1,2,3,2,3,3,3,2,2,2,2,3,2,3,1,3,1,2,2,2,2,2,3
1,1,3,2,3,3,2,2,2,3,2,2,1,3,2,3,2,3,2,2,2,2,1,2,1,2,2,3,2,2,2
3,1,2,3,1,3,3,2,3,2,3,3,2,2,1,2,3,2,3,2,2,3,2,1,3,2,3,2,1,2,2
3,1,3,2,2,2,3,2,2,1,2,1,3,3,3,2,2,2,3,3,2,3,1,3,2,2,2,3,1,2,2
